site_ID,Site,DHW_8,time_post_DHW,annual_SST_c,max_SST_c,min_SST_c,warm_seas_var_c,clim_temp_range_c,longitude,latitude,,
Site 1,BUN,3-6,13.95,24.83,28,22.23,0.68,5.77,114.15875,-21.861278,,
Site 2,VLF,3-6,6.98,24.97,27.93,22.69,0.68,5.24,114.175,-21.791944,,
Site 3,OSP,1-3,12.43,24.91,27.85,22.64,0.56,5.21,113.828889,-22.242778,,
Site 4,TAN,1-3,13.95,25.09,28.02,22.8,0.52,5.22,113.968333,-21.899167,,
Site 5,MUI,3-6,6.98,25.02,28.02,22.72,0.67,5.3,114.341361,-21.677889,,
Site 6,COR,6-9,5.15,24.1,26.78,21.83,0.63,4.95,113.764,-23.135694,,
Site 7,LK/TR,1-3,13.95,24.98,27.91,22.71,0.55,5.2,113.897222,-22.0675,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
