,Sample_Label_Field,Lat,Lon,Date,Time,Site,Depth_colony_max_m,Temp_c,Sanctuary_Status,Dist_from_land_m,Sample_Label_Processed,Morpho_ID_1,SEM_ID,Possible_Species,annual_SST_mean_c,max_SST_mean_c,min_SST_mean_c,warm_seas_var_c,clim_temp_range_c,DHW_8,time_post_DHW,predom_cur
NING-BUND-POR-10,S1-P.10,-21.85236898,114.17073,8/25/23,14:47,BUN,2.8,22.4,inside,974,bund.por.10,P. lobata,,P. lobata,24.83,28,22.23,0.68,5.77,3-6,13.95,LC & tidal
NING-BUND-POR-1,S1-P.01,-21.85623799,114.169078,8/25/23,9:54,BUN,4.6,22.4,inside,1187,bund.por.1,P. lutea ,,P. cf. lobata,24.83,28,22.23,0.68,5.77,3-6,13.95,LC & tidal
NING-BUND-POR-2,S1-P.02,-21.85642499,114.168285,8/25/23,10:08,BUN,1.2,22.4,inside,1135,bund.por.2,P. lobata,,P. lobata,24.83,28,22.23,0.68,5.77,3-6,13.95,LC & tidal
NING-BUND-POR-4,S1-P.04,-21.85821301,114.167777,8/25/23,11:21,BUN,4.2,22.4,inside,1192,bund.por.4,P. lutea,,P. lutea,24.83,28,22.23,0.68,5.77,3-6,13.95,LC & tidal
NING-BUND-POR-6,S1-P.06,-21.85965604,114.166773,8/25/23,12:12,BUN,3.4,22.4,inside,1122,bund.por.6,P. lutea ,,P. lutea,24.83,28,22.23,0.68,5.77,3-6,13.95,LC & tidal
NING-BUND-POR-9,S1-P.09,-21.86122304,114.165403,8/25/23,13:24,BUN,4.8,22.4,inside,1055,bund.por.9,P. australiensis ,,P. australiensis ,24.83,28,22.23,0.68,5.77,3-6,13.95,LC & tidal
NING-COR-POR-13,S6-P.13,-23.12919997,113.754787,8/31/23,12:04,COR,3.3,22.8,inside,927,cor.por.13,P. lutea ,,P. lutea,24.1,26.78,21.83,0.63,4.95,6-9,5.15,NC
NING-COR-POR-18,S6-P.18,-23.12890098,113.755107,8/31/23,12:35,COR,3.7,22.8,inside,862,cor.por.18,P. lutea ,,P. lutea,24.1,26.78,21.83,0.63,4.95,6-9,5.15,NC
NING-COR-POR-20,S6-P.20,-23.12843503,113.755397,8/31/23,12:52,COR,3,22.8,inside,791,cor.por.20,P. lobata,,P. lobata,24.1,26.78,21.83,0.63,4.95,6-9,5.15,NC
NING-COR-POR-5,S6-P.05,-23.14840299,113.76544,8/31/23,9:31,COR,3.5,22.8,inside,177,cor.por.5,P. lobata,,P. lobata,24.1,26.78,21.83,0.63,4.95,6-9,5.15,NC
NING-COR-POR-8,S6-P.08,-23.14868596,113.765105,8/31/23,9:59,COR,3.4,22.8,inside,216,cor.por.8,P. lutea ,,P. cf. lutea,24.1,26.78,21.83,0.63,4.95,6-9,5.15,NC
NING-COR-POR-9,S6-P.09,-23.14801499,113.765341,8/31/23,10:24,COR,3.6,22.8,inside,178,cor.por.9,P. lobata,,P. lobata,24.1,26.78,21.83,0.63,4.95,6-9,5.15,NC
NING-LAK-POR-1,S7-P.03,-22.03818597,113.910712,9/1/23,10:40,LAK,2.6,23.4,inside,52,lak.por.1,P. lutea ,,P. lutea,24.98,27.91,22.71,0.55,5.2,1-3,13.95,NC & LC
NING-LAK-POR-2,S7-P.04,-22.03806401,113.910763,9/1/23,10:51,LAK,2,23.4,inside,51,lak.por.2,P. lutea ,,P. lutea,24.98,27.91,22.71,0.55,5.2,1-3,13.95,NC & LC
NING-LAK-POR-3,S7-P.05,-22.03790098,113.910796,9/1/23,11:01,LAK,2.8,23.4,inside,53,lak.por.3,P. australiensis ,,P. cf. lobata,24.98,27.91,22.71,0.55,5.2,1-3,13.95,NC & LC
NING-LAK-POR-4,S7-P.06,-22.03785103,113.910257,9/1/23,11:17,LAK,3.2,23.4,inside,107,lak.por.4,Unsure,,P. lutea,24.98,27.91,22.71,0.55,5.2,1-3,13.95,NC & LC
NING-LAK-POR-5,S7-P.07,-22.03751198,113.910475,9/1/23,11:34,LAK,2.4,23.4,inside,98,lak.por.5,P. lutea ,,P. lutea,24.98,27.91,22.71,0.55,5.2,1-3,13.95,NC & LC
NING-LAK-POR-6,S7-P.08,-22.03699498,113.910201,9/1/23,11:47,LAK,2.9,23.4,inside,148,lak.por.6,Unsure,,P. cf. lutea,24.98,27.91,22.71,0.55,5.2,1-3,13.95,NC & LC
NING-MUI-POR-10,S5-P.10,-21.68878198,114.330299,8/30/23,10:23,MUI,2.2,23.6,outside,432,mui.por.10,P. lutea ,,P. lutea,25.02,28.02,22.72,0.67,5.3,3-6,6.98,LC
NING-MUI-POR-14,S5-P.14,-21.67627903,114.347214,8/30/23,12:13,MUI,2.6,23.6,outside,561,mui.por.14,P. lutea ,,P. lutea,25.02,28.02,22.72,0.67,5.3,3-6,6.98,LC
NING-MUI-POR-17,S5-P.17,-21.67680298,114.34736,8/30/23,12:36,MUI,2.9,23.6,outside,619,mui.por.17,P. lobata,,P. lobata,25.02,28.02,22.72,0.67,5.3,3-6,6.98,LC
NING-MUI-POR-18,S5-P.18,-21.67685604,114.347279,8/30/23,12:44,MUI,3,23.6,outside,620,mui.por.18,P. lobata,,P. lobata,25.02,28.02,22.72,0.67,5.3,3-6,6.98,LC
NING-MUI-POR-20,S5-P.20,-21.67699199,114.34688,8/30/23,13:02,MUI,2.1,23.6,outside,621,mui.por.20,P. lobata,,P. lobata,25.02,28.02,22.72,0.67,5.3,3-6,6.98,LC
NING-MUI-POR-4,S5-P.04,-21.689549,114.33005,8/30/23,9:19,MUI,2.5,23.6,outside,479,mui.por.4,P. lutea ,,P. lutea,25.02,28.02,22.72,0.67,5.3,3-6,6.98,LC
NING-OSP-POR-11,S3-P.11,-22.24324998,113.829988,8/27/23,14:48,OSP,3.4,23.5,inside,585,osp.por.11,P. lobata,,P. lobata,24.91,27.85,22.64,0.56,5.21,1-3,12.43,NC & LC
NING-OSP-POR-13,S3-P.13,-22.24341502,113.830055,8/27/23,15:03,OSP,3,23.5,inside,580,osp.por.13,P. lutea ,,P. lutea,24.91,27.85,22.64,0.56,5.21,1-3,12.43,NC & LC
NING-OSP-POR-15,S3-P.15,-22.24400704,113.829818,8/27/23,15:21,OSP,2.7,23.5,inside,604,osp.por.15,P. lobata,,P. lobata,24.91,27.85,22.64,0.56,5.21,1-3,12.43,NC & LC
NING-OSP-POR-2,S3-P.02,-22.24188801,113.828897,8/27/23,12:24,OSP,3.2,23.5,inside,700,osp.por.2,P. lutea ,,P. lutea,24.91,27.85,22.64,0.56,5.21,1-3,12.43,NC & LC
NING-OSP-POR-3,S3-P.03,-22.24169598,113.828983,8/27/23,12:37,OSP,3.1,23.5,inside,690,osp.por.3,P. solida,,P. cf. solida,24.91,27.85,22.64,0.56,5.21,1-3,12.43,NC & LC
NING-OSP-POR-9,S3-P.09,-22.242102,113.829921,8/27/23,14:25,OSP,4.7,23.5,inside,593,osp.por.9,P. lutea ,,P. lutea,24.91,27.85,22.64,0.56,5.21,1-3,12.43,NC & LC
NING-TAN-POR-10,S4-P.10,-21.89663197,113.97101,8/28/23,13:45,TAN,2.8,23.6,outside,1508,tan.por.10,P. australiensis ,,P. lutea,25.09,28.02,22.8,0.52,5.22,1-3,13.95,NC & LC
NING-TAN-POR-11,S4-P.11,-21.89665401,113.971058,8/28/23,13:53,TAN,3,23.6,outside,1505,tan.por.11,P. lutea ,P. lutea,P. lutea,25.09,28.02,22.8,0.52,5.22,1-3,13.95,NC & LC
NING-TAN-POR-15,S4-P.15,-21.89652996,113.97286,8/28/23,14:42,TAN,2.8,23.6,outside,1353,tan.por.15,P. lobata,P. lob/P. aus,P. australiensis ,25.09,28.02,22.8,0.52,5.22,1-3,13.95,NC & LC
NING-TAN-POR-17,S4-P.17,-21.89592403,113.971828,8/28/23,15:02,TAN,2.5,23.6,outside,1480,tan.por.17,P. lutea ,,P. lutea,25.09,28.02,22.8,0.52,5.22,1-3,13.95,NC & LC
NING-TAN-POR-1,S4-P.01,-21.90604401,113.967508,8/28/23,10:58,TAN,3.3,23.6,outside,1226,tan.por.1,P. lutea ,P. lutea,P. lutea,25.09,28.02,22.8,0.52,5.22,1-3,13.95,NC & LC
NING-TAN-POR-4,S4-P.04,-21.89943597,113.970074,8/28/23,12:04,TAN,4,23.6,outside,1422,tan.por.4,P. lobata,P. lobata,P. lobata,25.09,28.02,22.8,0.52,5.22,1-3,13.95,NC & LC
NING-TUR-POR-1,S7-P.01,-22.10011097,113.885081,9/1/23,9:08,TUR,2.4,23.4,inside,52,tur.por.1,P. lutea ,,P. lutea,24.98,27.91,22.71,0.55,5.2,1-3,13.95,NC & LC
NING-TUR-POR-2,S7-P.02,-22.09990502,113.885077,9/1/23,9:17,TUR,2.4,23.4,inside,54,tur.por.2,P. lobata,,P. lobata,24.98,27.91,22.71,0.55,5.2,1-3,13.95,NC & LC
NING-VLF-POR-12,S2-P.12,-21.79196103,114.175047,8/26/23,12:26,VLF,3.2,23.1,outside,267,vlf.por.12,P. lutea ,P. lutea,P. lutea,24.97,27.93,22.69,0.68,5.24,3-6,6.98,NC & LC
NING-VLF-POR-13,S2-P.13,-21.79622096,114.175061,8/26/23,13:26,VLF,2.9,23.1,outside,102,vlf.por.13,P. lobata,P. lutea,P. lutea,24.97,27.93,22.69,0.68,5.24,3-6,6.98,NC & LC
NING-VLF-POR-15,S2-P.15,-21.79584101,114.174743,8/26/23,13:48,VLF,3,23.1,outside,91,vlf.por.15,P. lutea ,P. lutea,P. lutea,24.97,27.93,22.69,0.68,5.24,3-6,6.98,NC & LC
NING-VLF-POR-17,S2-P.17,-21.79651801,114.175446,8/26/23,14:11,VLF,3.3,23.1,outside,118,vlf.por.17,P. lobata,P. lutea,P. lutea,24.97,27.93,22.69,0.68,5.24,3-6,6.98,NC & LC
NING-VLF-POR-1,S2-P.01,-21.78700296,114.169654,8/26/23,9:37,VLF,2.9,23.1,inside,160,vlf.por.1,P. lutea ,,P. lutea,24.97,27.93,22.69,0.68,5.24,3-6,6.98,NC & LC
NING-VLF-POR-7,S2-P.07,-21.787613,114.16973,8/26/23,10:47,VLF,2.2,23.1,inside,92,vlf.por.7,P. lobata,,P. lobata,24.97,27.93,22.69,0.68,5.24,3-6,6.98,NC & LC
